iter	Passed	Remaining
402	10332	36408
403	10354	36367
404	10375	36325
405	10400	36300
406	10426	36275
407	10454	36257
408	10481	36238
409	10507	36214
410	10533	36187
411	10561	36171
412	10590	36157
413	10616	36133
414	10640	36101
415	10664	36068
416	10683	36022
417	10708	35993
418	10731	35958
419	10755	35927
420	10782	35906
421	10806	35875
422	10828	35839
423	10853	35809
424	10880	35790
425	10904	35760
426	10927	35725
427	10948	35684
428	10972	35654
429	10993	35612
430	11017	35581
431	11041	35552
432	11070	35538
433	11093	35502
434	11115	35466
435	11138	35433
436	11167	35417
437	11192	35393
438	11220	35375
439	11244	35342
440	11263	35298
441	11288	35269
442	11311	35236
443	11337	35211
444	11362	35184
445	11386	35156
446	11411	35128
447	11437	35104
448	11464	35082
449	11488	35051
450	11508	35011
451	11538	34999
452	11561	34965
453	11587	34940
454	11611	34912
455	11638	34891
456	11664	34865
457	11686	34829
458	11712	34804
459	11733	34767
460	11760	34745
461	11782	34711
462	11805	34677
463	11831	34652
464	11859	34633
465	11881	34599
466	11904	34566
467	11927	34534
468	11949	34498
469	11972	34464
470	12001	34449
471	12030	34433
472	12053	34401
473	12076	34370
474	12101	34344
475	12124	34310
476	12147	34278
477	12174	34255
478	12197	34223
479	12218	34187
480	12240	34152
481	12262	34117
482	12290	34096
483	12315	34070
484	12340	34045
485	12362	34010
486	12382	33970
487	12403	33930
488	12425	33898
489	12453	33877
490	12475	33844
491	12499	33814
492	12525	33791
493	12549	33762
494	12572	33730
495	12598	33706
496	12627	33689
497	12653	33665
498	12677	33638
499	12706	33620
500	12731	33594
501	12756	33568
502	12781	33542
503	12804	33510
504	12826	33474
505	12849	33444
506	12874	33418
507	12895	33380
508	12921	33356
509	12948	33335
510	12975	33315
511	12998	33284
512	13027	33266
513	13054	33246
514	13077	33214
515	13101	33186
516	13123	33151
517	13151	33132
518	13177	33109
519	13199	33074
520	13224	33048
521	13245	33012
522	13277	33002
523	13303	32978
524	13329	32956
525	13352	32923
526	13378	32899
527	13401	32869
528	13424	32837
529	13445	32803
530	13472	32779
531	13496	32751
532	13520	32723
533	13542	32689
534	13565	32659
535	13592	32638
536	13617	32610
537	13640	32579
538	13665	32554
539	13692	32531
540	13712	32493
541	13739	32472
542	13766	32450
543	13789	32420
544	13812	32389
545	13841	32373
546	13866	32346
547	13888	32314
548	13911	32283
549	13935	32254
550	13958	32223
551	13982	32196
552	14002	32158
553	14023	32122
554	14047	32093
555	14072	32067
556	14098	32045
557	14120	32011
558	14141	31975
559	14164	31944
560	14190	31921
561	14213	31892
562	14242	31874
563	14266	31846
564	14293	31824
565	14315	31792
566	14340	31766
567	14363	31736
568	14389	31711
569	14414	31686
570	14434	31650
571	14455	31615
572	14476	31581
573	14501	31554
574	14525	31527
575	14550	31501
576	14575	31475
577	14599	31446
578	14627	31426
579	14652	31402
580	14683	31388
581	14705	31357
582	14733	31337
583	14760	31314
584	14784	31287
585	14807	31258
586	14829	31226
587	14852	31194
588	14876	31167
589	14900	31138
590	14929	31122
591	14951	31090
592	14977	31066
593	14999	31035
594	15021	31001
595	15048	30980
596	15076	30961
597	15100	30932
598	15126	30908
599	15151	30883
600	15175	30856
601	15203	30835
602	15227	30808
603	15255	30787
604	15278	30758
605	15304	30735
606	15326	30703
607	15347	30669
608	15371	30642
609	15398	30619
610	15421	30590
611	15445	30563
612	15471	30538
613	15495	30511
614	15522	30490
615	15544	30458
616	15573	30440
617	15598	30414
618	15621	30384
619	15648	30362
620	15672	30334
621	15698	30310
622	15722	30284
623	15755	30272
624	15776	30240
625	15799	30210
626	15823	30183
627	15847	30155
628	15875	30135
629	15902	30114
630	15928	30090
631	15950	30059
632	15976	30035
633	16004	30014
634	16030	29991
635	16054	29962
636	16078	29935
637	16105	29912
638	16132	29892
639	16164	29878
640	16189	29853
641	16213	29824
642	16237	29798
643	16262	29772
644	16295	29761
645	16323	29740
646	16348	29715
647	16377	29696
648	16401	29669
649	16425	29641
650	16453	29621
651	16481	29600
652	16509	29580
653	16536	29558
654	16563	29536
655	16587	29509
656	16616	29489
657	16644	29468
658	16667	29439
659	16692	29413
660	16713	29381
661	16736	29351
662	16769	29340
663	16791	29308
664	16815	29281
665	16839	29254
666	16865	29229
667	16892	29208
668	16921	29188
669	16946	29162
670	16969	29133
671	16998	29114
672	17026	29094
673	17058	29079
674	17093	29071
675	17122	29051
676	17150	29031
677	17181	29015
678	17212	28999
679	17240	28978
680	17264	28950
681	17286	28920
682	17307	28888
683	17335	28867
684	17360	28840
685	17387	28818
686	17412	28792
687	17438	28767
688	17463	28742
689	17487	28714
690	17508	28683
691	17532	28655
692	17558	28630
693	17587	28610
694	17609	28580
695	17641	28566
696	17670	28545
697	17693	28518
698	17716	28487
699	17741	28462
700	17767	28438
701	17790	28409
702	17815	28382
703	17845	28365
704	17869	28338
705	17900	28321
706	17923	28292
707	17945	28262
708	17980	28250
709	18004	28224
710	18029	28197
711	18053	28171
712	18078	28145
713	18105	28121
714	18131	28097
715	18162	28081
716	18189	28058
717	18216	28034
718	18243	28012
719	18272	27992
720	18298	27967
721	18323	27942
722	18347	27914
723	18372	27889
724	18394	27857
725	18420	27833
726	18441	27802
727	18469	27780
728	18497	27759
729	18526	27738
730	18554	27718
731	18579	27692
732	18604	27665
