iter	TotalF1	MultiClass
68	0.8996078801	0.2786285809
69	0.8996534487	0.2773975945
70	0.8995186493	0.2767753093
71	0.9005185809	0.2761095591
72	0.9009945808	0.2747523073
73	0.9011649334	0.274651106
74	0.9021991967	0.2737845537
75	0.9022065783	0.2736240739
76	0.902242535	0.2735906821
77	0.9023614218	0.2728011404
78	0.902364957	0.2724740156
79	0.9023882079	0.2722837812
80	0.9023882079	0.2722716676
81	0.9023628232	0.2720268806
82	0.9025501085	0.2708372047
83	0.9031577401	0.2707259769
84	0.9035308365	0.2695843497
85	0.9032256171	0.2693709195
86	0.9050260197	0.2649213519
87	0.9055792561	0.2644194298
88	0.9056523949	0.2643335075
89	0.9056577353	0.2643233106
90	0.9059162863	0.2642234327
91	0.9065528444	0.2637644075
92	0.9074532599	0.2619843293
93	0.9074532599	0.2618241469
94	0.9074728061	0.2615374134
95	0.9076543952	0.261389066
96	0.9079591378	0.2607350285
97	0.9079679134	0.2607255021
98	0.9081905349	0.260445509
99	0.9079119597	0.2598599792
100	0.90825152	0.2594683863
101	0.9084946587	0.2589625035
102	0.9083740131	0.2585436903
103	0.9088523703	0.2582496738
104	0.908854632	0.2582414168
105	0.9098780831	0.2556715
106	0.9096568894	0.255465077
107	0.9096586446	0.2554555523
108	0.9098244897	0.2551201854
109	0.9101256969	0.2547076905
110	0.9102817513	0.2544911814
111	0.9102852603	0.2544846204
112	0.9103046208	0.2544777719
113	0.9108616938	0.253367194
114	0.9108619911	0.2529686561
115	0.9106111461	0.2527709292
116	0.9108696562	0.2519944332
117	0.9111110438	0.2518671861
118	0.9108792165	0.2517310494
119	0.9108774636	0.2515493491
120	0.9113359586	0.2499904367
121	0.9113635034	0.2495451598
122	0.9115328624	0.2492387926
123	0.9115328624	0.2491094833
124	0.9115361661	0.2490098139
125	0.911510402	0.2489662636
126	0.9119118206	0.2489382735
127	0.9119118206	0.2488010084
128	0.9119310968	0.2487925125
129	0.911704048	0.2486367728
130	0.9118211071	0.2485139328
131	0.9118211071	0.2484487731
132	0.9117721875	0.2482478033
133	0.9122268554	0.2480197214
134	0.9122303942	0.2480132671
135	0.9122303942	0.2480072584
136	0.9124411092	0.2479181122
137	0.9127829743	0.2474673231
138	0.9128193701	0.2474577665
139	0.9128339828	0.2474518974
140	0.9128430275	0.2474369635
141	0.9128612011	0.2474323778
142	0.9130877158	0.2468858134
143	0.9134930636	0.24636917
144	0.9135187355	0.2461552418
145	0.9135152156	0.2460480837
146	0.9135222127	0.245913797
147	0.9135152156	0.2458596011
148	0.9135847697	0.2450723551
149	0.9137860601	0.2450181204
150	0.9139888923	0.2449793493
151	0.9140892346	0.2447170644
152	0.9143091842	0.2442516047
153	0.9143118542	0.2441386282
154	0.9143153603	0.2441348698
155	0.9143030333	0.2438542636
156	0.914566545	0.2435104783
157	0.9145696714	0.243157183
158	0.9147688664	0.2430788582
159	0.9147653754	0.2429904347
160	0.9147685258	0.2429126874
161	0.9147755404	0.242816754
162	0.9147685258	0.2428034542
163	0.9148992235	0.2427200548
164	0.9148992235	0.24262263
165	0.9147784081	0.2425728262
166	0.9148424375	0.2423331667
167	0.9148459255	0.2419228905
168	0.9148421743	0.2418738198
169	0.9149721352	0.2417461491
170	0.9147433358	0.241409315
171	0.9150160762	0.2413441045
172	0.9150125929	0.2412650537
173	0.9149127043	0.2411059627
174	0.9149127043	0.2408412738
175	0.9149319751	0.2407012283
176	0.9149222912	0.2405591329
177	0.9149415035	0.2404517226
178	0.9149518963	0.2404464463
179	0.9149518963	0.240305759
180	0.9149536636	0.2403004838
181	0.9150998956	0.2401903341
182	0.9151021644	0.2400635035
183	0.9151499217	0.2400042735
184	0.9156434688	0.2398170602
185	0.9155966338	0.2396960834
186	0.9154242364	0.2395194184
187	0.9156149299	0.2394567161
188	0.9155953678	0.2393846786
189	0.9155953678	0.2393232566
190	0.9154046523	0.2392534096
191	0.9154081993	0.2390927141
192	0.9154081993	0.2390822537
193	0.9154205246	0.2383302732
194	0.9154101555	0.2382045374
195	0.9154101555	0.2380261126
196	0.9159006432	0.2377605301
197	0.9157910787	0.237601601
198	0.9160135332	0.2364041512
199	0.9160143708	0.2362057747
200	0.915859857	0.2360937385
201	0.9158600981	0.2360099314
202	0.9159712117	0.2360045423
203	0.9161664011	0.2359004897
204	0.9161664011	0.2358961671
205	0.9161664011	0.2357271726
206	0.9164302894	0.2355122429
207	0.9164320745	0.2354770659
208	0.9164356445	0.2354728333
209	0.9167435043	0.2354113749
210	0.9166005244	0.2353343425
211	0.9169532904	0.2351255356
212	0.9172074529	0.234835658
213	0.9172074529	0.2347637945
214	0.9172074529	0.234560497
215	0.9170204253	0.2343659057
216	0.916799737	0.2342961731
217	0.9170217262	0.2342868497
218	0.9171731023	0.2341885633
219	0.9173981633	0.234128748
220	0.917691239	0.2340151212
221	0.9177480449	0.2338504052
222	0.917777373	0.2336493847
223	0.9178445515	0.2335938263
224	0.9178445515	0.2335185404
225	0.9178936417	0.23344562
226	0.9179054437	0.2332702029
227	0.9178952261	0.2332295812
228	0.9177801675	0.2331718103
229	0.9177801675	0.2329266209
230	0.918017466	0.2327087277
231	0.918017466	0.2327037241
232	0.9180209981	0.2326448676
233	0.9179270819	0.2321727524
234	0.9180494334	0.232088156
235	0.9177138588	0.2319470167
236	0.9178364078	0.231849454
237	0.9180590126	0.2315809499
238	0.9183292797	0.2313396956
239	0.9183283432	0.2311684426
240	0.9185844673	0.2310098864
241	0.9185863688	0.2307931563
242	0.9188778981	0.2306352092
243	0.9188842155	0.2306303346
244	0.9186135435	0.230601265
245	0.9186135435	0.2304979609
246	0.9189140288	0.2303968045
247	0.9187670467	0.2303272743
248	0.9189036078	0.2302992629
249	0.9186024945	0.2301113999
250	0.9185880438	0.2300874215
251	0.9187501981	0.2300385869
252	0.9187829918	0.230013207
253	0.9187881806	0.2300088227
254	0.9188131583	0.2299947588
255	0.9191823448	0.2297424872
256	0.9192556309	0.2296166585
257	0.9192765559	0.2294999162
258	0.9194990391	0.2293246452
259	0.9194990391	0.2293182218
260	0.9191463853	0.2292941674
261	0.919260947	0.229229434
262	0.9192684156	0.2291313042
263	0.9191183736	0.228982425
264	0.9192667615	0.2289201346
265	0.9195885159	0.2286586206
266	0.9197352488	0.22856115
267	0.9197352488	0.2285181225
268	0.9195400677	0.2284967005
269	0.9195418575	0.2284498011
270	0.9199178869	0.2282547401
271	0.9199178869	0.2281783008
272	0.9199217585	0.2280961483
273	0.9200062384	0.2280748064
274	0.920008265	0.2280701262
275	0.9200334817	0.2278315751
276	0.9199355798	0.2278100628
277	0.9199355798	0.2277725888
278	0.9199355798	0.2277605578
279	0.9201595342	0.2276922981
280	0.9203091699	0.2275339185
281	0.9203033441	0.2275299521
282	0.9203033441	0.227489793
283	0.9203033441	0.2274752748
284	0.9204082035	0.2274074998
285	0.9204646311	0.2273589502
286	0.9204665875	0.2272559249
287	0.9204013425	0.2271999341
288	0.9204013425	0.2270292238
289	0.920519486	0.2268163685
290	0.9207759303	0.2260754349
291	0.9207759303	0.2260623752
292	0.920584114	0.2259563944
293	0.9207777147	0.2258747592
294	0.92073054	0.2257712556
295	0.9207719577	0.2257034338
296	0.9207721306	0.2257001962
297	0.9207305805	0.2254723387
298	0.9207335806	0.2253778499
299	0.9207762674	0.2253299329
300	0.9207366258	0.225310489
301	0.9207372772	0.2252473609
302	0.9207380774	0.2251759933
303	0.9207511337	0.2244990691
304	0.9208227878	0.2244549694
305	0.9208326246	0.2244515047
306	0.9208275874	0.2243871803
307	0.9208331152	0.2243839978
308	0.9208351335	0.2243678217
309	0.9208490667	0.2242293076
310	0.920884979	0.2241608938
311	0.9209839072	0.22412006
312	0.9209749611	0.2239586835
313	0.9209741617	0.2238003242
314	0.9211602817	0.2237114478
315	0.9211602817	0.2236958297
316	0.921158581	0.2236082193
317	0.9211704437	0.2236028024
318	0.9211686712	0.2235769544
319	0.9211733069	0.223514799
320	0.9211829859	0.2234999207
321	0.9211730744	0.2233832613
322	0.9212784559	0.2233100435
323	0.9212802295	0.2232852302
324	0.9212799982	0.2232480966
325	0.9212470819	0.2232384187
326	0.9212604798	0.2232305967
327	0.921247793	0.2230643381
328	0.9214266227	0.2228632828
329	0.9214266227	0.2228372563
330	0.9215482629	0.2225733575
331	0.9216710894	0.2224280735
332	0.9216733388	0.222353824
333	0.9216602123	0.2222625118
334	0.9216727233	0.2222506568
335	0.9216613827	0.222152828
336	0.9217064273	0.2220999218
337	0.9217529773	0.2220165277
338	0.9219437615	0.22193367
339	0.9218718369	0.2218181219
340	0.9218718369	0.2217394672
341	0.9219934609	0.2214919351
342	0.9219822031	0.2214509999
343	0.9220979519	0.2213554866
344	0.9220979519	0.2212895693
345	0.9221050833	0.2212616831
346	0.92223999	0.2212164898
347	0.9223595653	0.2211958017
348	0.9223577853	0.2210756211
349	0.9223577853	0.2210108389
350	0.9223577853	0.2209218323
351	0.9223953325	0.2208052251
352	0.9224308654	0.2207328166
353	0.9223698901	0.220677375
354	0.9224051322	0.2205927776
355	0.9224051322	0.2205182458
356	0.9223716701	0.2204751614
357	0.9223716701	0.2204415918
358	0.9225167524	0.2201125994
359	0.9225173419	0.2201101644
360	0.9225403589	0.220004222
361	0.922530859	0.2199995911
362	0.9225477115	0.2199483418
363	0.9225542066	0.2198645722
364	0.9225536862	0.219859795
365	0.9225536862	0.2198576494
366	0.9225791075	0.2197567862
367	0.9225903831	0.2196815651
368	0.9227809168	0.219574104
369	0.9227809168	0.2195306583
370	0.9229042765	0.219331758
371	0.9229042765	0.2193196243
372	0.9230096811	0.21924084
373	0.9230199166	0.2191990451
374	0.9230099529	0.2191410893
375	0.9230099529	0.2190761528
376	0.9230099529	0.219047615
377	0.9230099529	0.2190325921
378	0.9230099529	0.2189431423
379	0.923208012	0.218854295
380	0.9230390874	0.2187825689
381	0.9230390874	0.2187365113
382	0.9230390874	0.2187262368
383	0.9230390874	0.2187214506
384	0.9230373083	0.2186269144
385	0.9230373083	0.2185855036
386	0.9232234717	0.2185195748
387	0.9234560697	0.2183215583
388	0.9234257535	0.2182842485
389	0.923615133	0.2182527917
390	0.923618691	0.2182508455
391	0.9236240274	0.2182473774
392	0.9236240274	0.2182102921
393	0.9236242572	0.2182086466
394	0.9236242572	0.2182071597
395	0.923487342	0.2181658491
396	0.9234750016	0.2181262584
397	0.9234856699	0.2181170062
398	0.9234796121	0.2180891971
399	0.9233117375	0.2180859156
400	0.923488018	0.2180660161
401	0.923488018	0.2180085643
402	0.9234982402	0.2180064288
403	0.923488018	0.2179516052
404	0.923488018	0.2178991399
405	0.9234415091	0.2178295669
406	0.9234660377	0.2176941879
407	0.9234599048	0.2176632236
408	0.9235654081	0.2175909048
409	0.923657056	0.217496623
410	0.9236572842	0.2174440742
411	0.9239862755	0.2172612308
412	0.9239688574	0.2172557631
413	0.9241146298	0.2170461907
414	0.9239280436	0.2170324106
415	0.9238052323	0.2170228415
416	0.9238009377	0.2170202219
417	0.9238627173	0.2169844784
418	0.9238627173	0.2169830194
419	0.9238627173	0.2169301566
420	0.9240097663	0.2168756714
421	0.9240331484	0.2168208284
422	0.9240313673	0.2167872516
423	0.9240383254	0.2167639624
424	0.9240775552	0.2166894941
425	0.9240706024	0.2166737752
426	0.9240741648	0.2166617732
427	0.9240812886	0.2166445902
428	0.9240812886	0.2166042841
429	0.9240812886	0.2166028043
430	0.9240812886	0.2165936354
431	0.9240812886	0.2165626456
432	0.9241137349	0.2164607185
433	0.9241558421	0.2164508387
434	0.9242166077	0.2164091231
435	0.9242166077	0.2163643319
436	0.9242183824	0.2160842795
437	0.9242219536	0.2159409209
438	0.9242219536	0.2159221919
439	0.924161188	0.2158658431
440	0.9240408218	0.215838795
441	0.9241013929	0.2158035945
442	0.9241960045	0.2156929909
443	0.9242568247	0.2156595449
444	0.9242568247	0.2156502581
445	0.9242585995	0.2156253478
446	0.9242585995	0.2155940081
447	0.9242367475	0.2155135535
448	0.9242976569	0.2154479879
449	0.9242976569	0.215394833
450	0.9243165923	0.2153912886
451	0.9243165923	0.2153513829
452	0.9244473836	0.2152547539
453	0.9244421295	0.2152138458
454	0.924448168	0.2152115177
455	0.924448168	0.2151887434
456	0.9244416968	0.2151655771
457	0.9244434699	0.2151642307
458	0.9244533962	0.215159094
459	0.9244605774	0.2151227308
460	0.9245253451	0.2148469888
461	0.9245282825	0.2147576644
462	0.9245979277	0.2147262834
463	0.9245979277	0.2147235104
464	0.9247254396	0.2146750904
465	0.9246658148	0.214635299
466	0.9246633734	0.2146311266
467	0.924776346	0.2145757305
468	0.924776346	0.2145400488
469	0.9247816946	0.2144919011
470	0.9247906466	0.2144548298
471	0.9248088726	0.2144071225
472	0.9248088726	0.2143667751
473	0.9248088726	0.2143195398
474	0.9248088726	0.2142814097
475	0.9248088726	0.2142418702
476	0.9248088726	0.2141772483
477	0.9248088726	0.2140976155
478	0.9248088726	0.2140864086
479	0.9248088726	0.2140598921
480	0.9248088726	0.2138753209
481	0.924913592	0.2138408005
482	0.924913592	0.2138162728
483	0.9250239497	0.213708
484	0.9250186225	0.2136562754
485	0.9250163497	0.2136247087
486	0.9249897695	0.2136206533
487	0.9249897695	0.2135782251
488	0.9249897695	0.2135572555
489	0.9249897695	0.2135344902
490	0.9249631362	0.2134873065
491	0.9249631362	0.2134333815
492	0.9249631362	0.2134152598
493	0.9250671948	0.2133954301
494	0.9250786054	0.2133863697
495	0.9250619415	0.2133145229
496	0.9250608198	0.2132695131
497	0.9250856465	0.2132418753
498	0.9251016863	0.2132008713
499	0.9250928634	0.2131329131
500	0.9250774843	0.2130983713
501	0.9250775102	0.2130228672
502	0.925075724	0.213015755
503	0.9251055576	0.2129765733
504	0.9251055576	0.2129516208
505	0.9251073428	0.2129155666
506	0.9251194712	0.2128261156
507	0.925305994	0.2127752344
508	0.9253416575	0.2127736658
509	0.9254753564	0.2127295106
510	0.9255104481	0.2127258754
511	0.9255171789	0.2126718013
512	0.9255171789	0.2126682308
513	0.9255153949	0.2125474459
514	0.9255970216	0.2124811035
515	0.925598806	0.2124182073
516	0.925598806	0.2123938661
517	0.9256416472	0.2123266382
518	0.9257366204	0.2120650394
519	0.9257348406	0.2119377165
520	0.925761567	0.2119260882
521	0.9257617771	0.2118810384
522	0.9257635548	0.2118786684
523	0.9257635548	0.2118135495
524	0.9257648765	0.2117892922
525	0.9257653324	0.2117575495
526	0.9257911632	0.2117548166
527	0.9257911632	0.2117239684
528	0.9258278073	0.2116862179
529	0.9258278073	0.211656909
530	0.9258623833	0.211613721
531	0.9258623833	0.2116013329
532	0.9259483114	0.2115605319
533	0.9259483114	0.2114718834
534	0.9259483114	0.2114561961
535	0.9259483114	0.2114355881
536	0.9259483114	0.2113731228
537	0.9259483114	0.2113248848
538	0.9259483114	0.2112829109
539	0.9259483114	0.211201763
540	0.9259483114	0.2111858388
541	0.9259483114	0.2111624507
542	0.9259483114	0.2111343956
543	0.9259483114	0.2110911012
544	0.9259483114	0.2110630265
545	0.9259516676	0.210930746
546	0.9259516676	0.2108649702
547	0.9259531601	0.2108311603
548	0.9259568543	0.2107420768
549	0.9259564575	0.2107221927
550	0.9259564575	0.2107043325
551	0.9259607857	0.210679466
552	0.9259618832	0.210660673
553	0.9259604852	0.2105954359
554	0.9259600875	0.2105699963
555	0.9259604852	0.2105482485
556	0.9259600875	0.2105331865
557	0.9259604852	0.2104900589
558	0.9259622813	0.2104500304
559	0.9259622813	0.2104490203
560	0.9259622813	0.2104477933
561	0.9259618832	0.2104230967
562	0.9259618832	0.2104194671
563	0.9259618832	0.2103741685
564	0.9259618832	0.2103544805
565	0.9259607857	0.2103438842
566	0.9259618832	0.210306821
567	0.9259618832	0.2102921396
568	0.9260846879	0.2102259085
569	0.9260978785	0.2101929729
570	0.9260828923	0.2101718854
571	0.9260828923	0.2101538581
572	0.9260960828	0.2099988787
573	0.9260960828	0.2099561992
574	0.9260960828	0.2099088013
575	0.926015525	0.2098548739
576	0.92600233	0.2098298872
577	0.9260828923	0.2097978205
578	0.9262203736	0.2097429709
579	0.9262841357	0.2097406589
580	0.9262841357	0.2097380986
581	0.926226149	0.2096922406
582	0.9262614721	0.2096589509
583	0.9262349298	0.2096435457
584	0.9262410907	0.2096409753
585	0.9262410907	0.2096394036
586	0.9262410907	0.2096059228
587	0.9262410907	0.209581726
588	0.9261889124	0.2094799617
589	0.9261606703	0.2094478535
590	0.9261606703	0.2093924457
591	0.9263520382	0.2093276329
592	0.9263652164	0.2092737793
593	0.9263652164	0.2092296434
594	0.9265083928	0.2091782222
595	0.9264952012	0.2091729815
596	0.9264952012	0.2091351939
597	0.926373219	0.2090955576
598	0.9264534811	0.2090932458
599	0.9264566963	0.2090899874
600	0.9264355157	0.2090751655
601	0.9264566963	0.2090225307
602	0.9264566963	0.2089186393
603	0.9263764268	0.2088582116
604	0.9263775166	0.208814519
605	0.926385897	0.2087609662
606	0.9263869884	0.2087598641
607	0.9265313183	0.2087153545
608	0.9265327387	0.2086879829
609	0.9265313183	0.2086525076
610	0.9265370777	0.2086450584
611	0.9264119169	0.2086242427
612	0.9265352821	0.2085896439
613	0.9265352821	0.2085715191
614	0.9264083255	0.2085533083
615	0.9264119169	0.2085294495
616	0.9265998604	0.2084207346
617	0.9267122477	0.2083870927
618	0.9267122477	0.2083295794
619	0.9268013582	0.2083156034
620	0.9267104522	0.2083013445
621	0.9266479161	0.2082678599
622	0.9266479161	0.2082493477
623	0.9266481362	0.2082302301
624	0.9266481362	0.2082289481
625	0.9266481362	0.2082190502
626	0.9266481362	0.2081789467
627	0.9267124684	0.2081513707
628	0.9267124684	0.2081018837
629	0.9266499322	0.2080446123
630	0.9267185162	0.2080169786
631	0.9267185162	0.2079987903
632	0.9267337671	0.2079894573
633	0.926826135	0.2079568773
634	0.9268087949	0.207944756
635	0.9268087949	0.2079438042
636	0.9267079947	0.2079102771
637	0.9267097903	0.2079079026
638	0.926789579	0.2078678193
639	0.926721451	0.2078235061
640	0.9267097903	0.2077974273
641	0.9267002404	0.2077705939
642	0.9266958744	0.2077382758
643	0.9266958744	0.2077349829
644	0.9266920027	0.2076940564
645	0.9266993689	0.2076617958
646	0.9266993689	0.2076603286
647	0.9266098594	0.2075970066
648	0.9266098594	0.2075702644
649	0.9266098594	0.2075555717
650	0.9266098594	0.207503807
651	0.9266149889	0.2074952808
652	0.9266296419	0.2074377527
653	0.9267441214	0.2073918327
654	0.9266547124	0.2073185692
655	0.9266547124	0.2073154489
656	0.9266708859	0.2072637992
657	0.9266708859	0.207254041
658	0.9266708859	0.2072494243
659	0.926714075	0.2071645309
660	0.9267158704	0.2071506375
661	0.9267106479	0.207126058
662	0.9267106479	0.2071162311
663	0.9267088511	0.207091081
664	0.9267023465	0.2070899541
665	0.926802591	0.206977002
666	0.926802591	0.2069662493
667	0.9268007933	0.2069616056
668	0.9268439598	0.2069506518
669	0.9268260768	0.2069207095
670	0.9268260768	0.2068891811
671	0.9269778657	0.2068412455
672	0.9271923517	0.2068031257
673	0.9272167099	0.2067491925
674	0.9273244074	0.2067163625
675	0.9273244074	0.2066971603
676	0.9272589348	0.206652087
677	0.9272589348	0.2066422647
678	0.9272524102	0.2066396654
679	0.9272563252	0.2066354678
680	0.9272563252	0.2066338008
681	0.9272563252	0.2066133767
682	0.9272563252	0.20661255
683	0.9272563252	0.206585602
684	0.9272350887	0.206572222
685	0.9272350887	0.2065535247
686	0.9273371232	0.2065235237
687	0.9273431747	0.2064584243
688	0.9273431747	0.2064572082
689	0.9273431747	0.2064314943
690	0.9273608347	0.2064076075
691	0.9274711811	0.2063699914
692	0.9274954604	0.2062987766
693	0.9275167042	0.2062696877
694	0.9276026943	0.2061772261
695	0.9276026943	0.2061763043
696	0.927614243	0.206129342
697	0.927614243	0.2061138652
698	0.9276053288	0.2061011423
699	0.9276043935	0.2060658479
700	0.9276109301	0.2060422961
701	0.9276109301	0.2060237313
702	0.9275992961	0.2059976505
703	0.9277717935	0.2057018158
704	0.9277724442	0.2056729734
705	0.9278517879	0.2056297066
706	0.9277689019	0.205590973
707	0.9277724887	0.2055823182
708	0.927848246	0.2054469983
709	0.9278548559	0.2054166185
710	0.9278554319	0.2053945394
711	0.9278590192	0.2053685502
712	0.9278656287	0.2053422974
713	0.9278898556	0.2052847791
714	0.9278898556	0.2052634293
715	0.9280035982	0.2052314351
716	0.9280478258	0.2052231203
717	0.9280478258	0.2052028524
718	0.9280478258	0.2051737888
719	0.9280478258	0.2051548368
720	0.9280513994	0.2051445319
721	0.9280513994	0.205134897
722	0.9280513994	0.2051104781
723	0.9280513994	0.2050726683
724	0.9280478258	0.2050713869
725	0.9280524584	0.205039272
726	0.9280459646	0.2050377962
727	0.9280459646	0.2050149197
728	0.9280477526	0.2050055946
729	0.928160727	0.204814648
730	0.9282451198	0.2047979248
731	0.9282451198	0.2047907483
732	0.9282642334	0.2047635809
733	0.9282642334	0.204719355
734	0.9282642334	0.2046964244
735	0.9283619619	0.2046645633
736	0.9283619619	0.2046159456
737	0.9283619619	0.2046099793
738	0.9283734126	0.2046022209
739	0.9283619619	0.2045942137
740	0.9283637497	0.2045869828
741	0.9283752024	0.2045730255
742	0.9283752024	0.204536395
743	0.9283752024	0.2045157461
744	0.9283752024	0.2044796909
745	0.9283752024	0.2044529125
746	0.9283716227	0.2044333203
747	0.9283752024	0.2044198088
748	0.928371872	0.2042980054
749	0.9283708286	0.2042900158
750	0.9283744083	0.2042625539
751	0.9283711532	0.2042593196
752	0.9283711532	0.2042390512
753	0.928375493	0.2042227314
754	0.9283780212	0.2042013076
755	0.9282917941	0.2041659109
756	0.9283223535	0.204153557
757	0.9283223535	0.2041364676
758	0.9283223535	0.2041167716
759	0.9283223535	0.2040434762
760	0.9283223535	0.2040081054
761	0.9283223535	0.2039960561
762	0.9284066906	0.2039849258
763	0.9283223535	0.2039626555
764	0.9283223535	0.2039026876
765	0.9283223535	0.2038928189
766	0.9283498246	0.2038711304
767	0.9283498246	0.2038600547
768	0.9283498246	0.2038436706
769	0.9283498246	0.2038310717
770	0.9283480481	0.2038262502
771	0.9284343879	0.2038017285
772	0.9284460656	0.2037997653
773	0.9284493634	0.203795786
774	0.9284493634	0.2037732625
775	0.9283648963	0.2037404311
776	0.9283648963	0.203734884
777	0.9283615898	0.2037096519
778	0.9283900108	0.2037035015
779	0.9284747912	0.2036842577
780	0.9284747912	0.203621924
781	0.9284780953	0.2035442154
782	0.9284780953	0.2035289781
783	0.9284780953	0.203434971
784	0.9284816297	0.2034340585
785	0.9284816297	0.2034199287
786	0.9284798626	0.2033815214
787	0.9284798626	0.2033683234
788	0.9284816297	0.2033554629
789	0.9284833969	0.2033037691
790	0.9284816297	0.2032852995
791	0.9284816297	0.2032663622
792	0.9284800794	0.2032532055
793	0.9285240832	0.2032318054
794	0.9285240832	0.2031295688
795	0.9285240832	0.203127796
796	0.9285240832	0.2031160167
797	0.9285258449	0.2031003554
798	0.9285100186	0.20303682
799	0.9285100186	0.2030330297
800	0.9285082568	0.2030220033
801	0.928545757	0.2030117168
802	0.928545757	0.2029978427
803	0.9285886447	0.2029771485
804	0.928545757	0.2029406954
805	0.9285869023	0.2029272068
806	0.9285869023	0.2028833709
807	0.9285886447	0.2028827129
808	0.9285475058	0.2028752883
809	0.9285475058	0.2028640038
810	0.9285988102	0.2028528442
811	0.9285927548	0.202851345
812	0.9286340102	0.2028349245
813	0.9286340102	0.2028335406
814	0.9286340102	0.2027619981
815	0.9286340102	0.2027531911
816	0.9286340102	0.2027324683
817	0.9286340102	0.2027260467
818	0.9286340102	0.2026759884
819	0.9286340102	0.2026493232
820	0.9286340102	0.2025990673
821	0.9286340102	0.2025824134
822	0.9287242875	0.2025531745
823	0.9287265423	0.2025503868
824	0.9286960595	0.2025286536
825	0.9286549418	0.2025255643
826	0.9286960595	0.2025030873
827	0.9287112144	0.2025003724
828	0.9287112144	0.2024809695
829	0.9287112144	0.2023923914
830	0.9287112144	0.2023916306
831	0.9287112144	0.2023870485
832	0.9287112144	0.2023844557
833	0.9287112144	0.2023302354
834	0.9287037839	0.2023254491
835	0.9287037839	0.2023194371
836	0.9287037839	0.2022999662
837	0.9287037839	0.2022955422
838	0.9287037839	0.2022858118
839	0.9287004698	0.2022769201
840	0.928709181	0.2022744257
841	0.928709181	0.2022596627
842	0.928712665	0.202229854
843	0.928712665	0.202220374
844	0.928712665	0.2021894192
845	0.9287103012	0.2021793925
846	0.9287407718	0.2021430462
847	0.9287599327	0.2021375584
848	0.9287581912	0.202123709
849	0.9287581912	0.2021066742
850	0.9287599327	0.2020946383
851	0.9287599327	0.2020756886
852	0.9288701785	0.2019853229
853	0.9288701785	0.2019202702
854	0.9288714751	0.2019173463
855	0.9288714751	0.2019048181
856	0.9288344787	0.2018555988
857	0.928848182	0.201836755
858	0.928848182	0.2017985712
859	0.9288084428	0.201740759
860	0.928848182	0.2017034161
861	0.9288378885	0.2016765748
862	0.9288787759	0.2016548511
863	0.9288411036	0.2016428569
864	0.9290181113	0.2015743267
865	0.9290591748	0.2015463978
866	0.9289039456	0.2014302247
867	0.9289050722	0.2014087209
868	0.9289015975	0.2013911516
869	0.9289015975	0.2013897642
870	0.9289015975	0.2013782864
871	0.9289015975	0.2013620785
872	0.9289015975	0.2013439906
873	0.9288987339	0.2013119511
874	0.9289015975	0.2013097663
875	0.9288987339	0.2012966275
876	0.9288987339	0.2012852035
877	0.928900687	0.2012598716
878	0.9289548012	0.2012383729
879	0.9289548012	0.2012375249
880	0.9289424106	0.2012302188
881	0.9289520001	0.2012032533
882	0.9289367435	0.2011935562
